table,domain,category,tenant_model,hospital_id,primary_key,fk_count,policy_count,app_file_refs,app_ops,design_provenance,ai_duplication_risk,ai_drift_risk,security_risk,data_integrity_risk,performance_risk,final_verdict,confidence,evidence
cleaning_schedules,Other,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,1,READ|UPDATE|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260329083647_16e8bea8-2bbf-46b2-a723-b77c856c4480.sql ; 20260329083647_16e8bea8-2bbf-46b2-a723-b77c856c4480.sql
clinical_alerts,Other,CORE ENTITY,DIRECT hospital_id,YES,id,5,3,60,READ|INSERT|UPDATE,PATCHED DESIGN (touched by many migrations),LOW,MEDIUM,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260322092601_7a1cb821-2abc-479b-8d2d-9d19a5740e0b.sql ; 20260322092601_7a1cb821-2abc-479b-8d2d-9d19a5740e0b.sql
clinical_audit_samples,Quality/NABH,CORE ENTITY,DERIVED via clinical_audits,NO,id,1,1,1,READ|INSERT|UPDATE|DELETE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260909000004_clinical_audits_qi.sql ; 20260909000004_clinical_audits_qi.sql
clinical_audits,Quality/NABH,CORE ENTITY,DIRECT hospital_id,YES,id,4,1,2,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260909000004_clinical_audits_qi.sql ; 20260909000004_clinical_audits_qi.sql
clinical_guidelines,Other,CORE ENTITY,DIRECT hospital_id,YES,id,0,3,1,READ,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260521000009_clinical_guidelines.sql ; 20260521000009_clinical_guidelines.sql
clinical_note_templates,Other,CORE ENTITY,DIRECT hospital_id,YES,id,2,4,1,READ|INSERT|DELETE,PATCHED DESIGN (repeated policy rewrites),LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20261008000000_clinical_note_templates.sql ; 20261008000000_clinical_note_templates.sql
clinical_protocols,Other,CORE ENTITY,DIRECT hospital_id,YES,id,1,1,2,READ|INSERT|UPDATE|DELETE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260327045637_374bfc54-05be-4d73-9183-63f042dcadb0.sql ; 20260327045637_374bfc54-05be-4d73-9183-63f042dcadb0.sql
clinical_reference_sources,Other,REFERENCE,DIRECT hospital_id,YES,id,1,3,0,NONE,UNCERTAIN (not found in migrations),LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,
code_blue_audits,Other,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,1,INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260509100003_nabh_code_blue.sql ; 20260509100003_nabh_code_blue.sql
code_blue_events,Other,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,1,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260509100003_nabh_code_blue.sql ; 20260509100003_nabh_code_blue.sql
coding_audits,Other,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,0,NONE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,"REVIEW (no app usage, no rows)",LOW,20260328092644_e20b425f-7b11-4901-833e-bae2cd5c4448.sql ; 20260328092644_e20b425f-7b11-4901-833e-bae2cd5c4448.sql
cold_chain_log,Vaccination,AUDIT,DIRECT hospital_id,YES,id,2,2,2,READ|INSERT,DUPLICATED DESIGN (multiple CREATE TABLE),HIGH,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260330082601_4d96ad0c-559e-412b-978e-1c9185e66d76.sql ; 20260330082601_4d96ad0c-559e-412b-978e-1c9185e66d76.sql
cold_storage_log,Other,AUDIT,DIRECT hospital_id,YES,id,2,1,0,NONE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,"REVIEW (no app usage, no rows)",LOW,20260329153452_0dce536f-a0cb-4ae9-9af2-e7d3d5baee48.sql ; 20260329153452_0dce536f-a0cb-4ae9-9af2-e7d3d5baee48.sql
collection_campaigns,Other,CORE ENTITY,DIRECT hospital_id,YES,id,2,1,1,INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260329070823_5e47e3bf-e6fb-4984-a526-620c1df6a340.sql ; 20260329070823_5e47e3bf-e6fb-4984-a526-620c1df6a340.sql
committee_action_items,Quality/NABH,JUNCTION,DERIVED via committee_meetings/users,NO,id,2,1,1,READ|INSERT|UPDATE|DELETE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260909000005_committees.sql ; 20260909000005_committees.sql
committee_meetings,Quality/NABH,CORE ENTITY,DERIVED via hospital_committees/users,NO,id,2,1,2,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260909000005_committees.sql ; 20260909000005_committees.sql
committee_members,Quality/NABH,JUNCTION,DERIVED via hospital_committees/users,NO,id,2,1,1,READ|INSERT|DELETE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260909000005_committees.sql ; 20260909000005_committees.sql
config_change_logs,Other,AUDIT,DIRECT hospital_id,YES,id,2,1,6,INSERT|READ,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260909000008_ims.sql ; 20260909000008_ims.sql
consent_form_templates,Audit/Compliance,CORE ENTITY,DIRECT hospital_id,YES,id,1,1,3,READ|UPDATE|INSERT|DELETE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260904000023_consent_form_templates.sql ; 20260904000023_consent_form_templates.sql
consent_templates,Audit/Compliance,CORE ENTITY,DIRECT hospital_id,YES,id,1,1,1,READ,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260327045637_374bfc54-05be-4d73-9183-63f042dcadb0.sql ; 20260327045637_374bfc54-05be-4d73-9183-63f042dcadb0.sql
corporate_accounts,Insurance,CORE ENTITY,DIRECT hospital_id,YES,id,1,3,1,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260330085957_54b90582-7f75-4fcc-be1f-5e5d5aaf3d7a.sql ; 20260330085957_54b90582-7f75-4fcc-be1f-5e5d5aaf3d7a.sql
credential_override_log,Other,AUDIT,DIRECT hospital_id,YES,id,3,1,1,INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20261008000081_credential_override_log.sql ; 20261008000081_credential_override_log.sql
credit_note_items,Billing,JUNCTION,DIRECT hospital_id,YES,id,3,2,1,INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260518000003_drug_return_credit_note.sql ; 20260518000003_drug_return_credit_note.sql
credit_notes,Billing,CORE ENTITY,DIRECT hospital_id,YES,id,6,3,1,INSERT,PATCHED DESIGN (repeated policy rewrites),LOW,LOW,LOW,LOW,HIGH,KEEP + MODIFY (add FK indexes),HIGH,20260518000003_drug_return_credit_note.sql ; 20260518000003_drug_return_credit_note.sql
cross_match_records,Other,CORE ENTITY,DIRECT hospital_id,YES,id,5,1,3,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,HIGH,KEEP + MODIFY (add FK indexes),HIGH,20260328052647_ae1a1adb-0b7e-44c0-be24-5a2f81d3a97f.sql ; 20260328052647_ae1a1adb-0b7e-44c0-be24-5a2f81d3a97f.sql
cycle_instruments,Other,CORE ENTITY,DIRECT hospital_id,YES,id,4,1,1,INSERT|UPDATE|READ,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,HIGH,KEEP + MODIFY (add FK indexes),HIGH,20260328053244_8e0f8d5a-e7a8-4433-bd17-3cbc6805c53c.sql ; 20260328053244_8e0f8d5a-e7a8-4433-bd17-3cbc6805c53c.sql
daily_cash_closure,Other,CORE ENTITY,DIRECT hospital_id,YES,id,3,2,3,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260518000010_daily_cash_closure.sql ; 20260518000010_daily_cash_closure.sql
daily_census_snapshots,Other,HISTORY,DIRECT hospital_id,YES,id,1,1,1,INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260908000018_daily_census.sql ; 20260908000018_daily_census.sql
data_erasure_requests,Other,CORE ENTITY,DIRECT hospital_id,YES,id,3,3,5,READ|UPDATE|INSERT|DELETE,PATCHED DESIGN (repeated policy rewrites),LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20261008000104_data_erasure_requests.sql ; 20261008000104_data_erasure_requests.sql
day_care_procedures,Other,CORE ENTITY,DIRECT hospital_id,YES,id,1,2,4,READ|INSERT|UPDATE|DELETE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260518000011_day_care_admission_type.sql ; 20260518000011_day_care_admission_type.sql
daycare_chairs,Other,CORE ENTITY,DIRECT hospital_id,YES,id,2,1,2,READ|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260328054628_52972efb-5442-46fd-a624-f86462360ec5.sql ; 20260328054628_52972efb-5442-46fd-a624-f86462360ec5.sql
death_certificates,Other,CORE ENTITY,DIRECT hospital_id,YES,id,4,1,1,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,MEDIUM,MEDIUM,KEEP,MEDIUM,20260328092644_e20b425f-7b11-4901-833e-bae2cd5c4448.sql ; 20260328092644_e20b425f-7b11-4901-833e-bae2cd5c4448.sql
demand_forecasts,Other,REPORTING,DIRECT hospital_id,YES,id,2,3,0,NONE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,"REVIEW (no app usage, no rows)",LOW,20260501145300_v9_emr_procurement_foundation.sql ; 20260501145300_v9_emr_procurement_foundation.sql
denial_logs,Other,AUDIT,DIRECT hospital_id,YES,id,2,1,3,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260329063511_1963ad63-bfbd-458c-b038-ebbee8ae482b.sql ; 20260329063511_1963ad63-bfbd-458c-b038-ebbee8ae482b.sql
dental_charts,Dental,CORE ENTITY,DIRECT hospital_id,YES,id,3,2,2,INSERT|UPDATE|READ,DUPLICATED DESIGN (multiple CREATE TABLE),HIGH,MEDIUM,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260330083551_91e31bcb-a645-474e-89f4-3350b3322a58.sql ; 20260330083551_91e31bcb-a645-474e-89f4-3350b3322a58.sql
dental_lab_orders,Dental,CORE ENTITY,DIRECT hospital_id,YES,id,3,2,1,READ|INSERT|UPDATE,DUPLICATED DESIGN (multiple CREATE TABLE),HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,KEEP,MEDIUM,20260330083551_91e31bcb-a645-474e-89f4-3350b3322a58.sql ; 20260330083551_91e31bcb-a645-474e-89f4-3350b3322a58.sql
dental_treatment_plans,Dental,CORE ENTITY,DIRECT hospital_id,YES,id,5,2,1,READ|INSERT|UPDATE,DUPLICATED DESIGN (multiple CREATE TABLE),HIGH,MEDIUM,LOW,LOW,HIGH,KEEP + MODIFY (add FK indexes),HIGH,20260330083551_91e31bcb-a645-474e-89f4-3350b3322a58.sql ; 20260330083551_91e31bcb-a645-474e-89f4-3350b3322a58.sql
department_indents,Tenant,CORE ENTITY,DIRECT hospital_id,YES,id,4,4,3,INSERT|READ|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260324080900_880106fb-2a83-4c42-aec2-012df6887a7a.sql ; 20260518000006_rls_missing_tables.sql
departments,Tenant,CORE ENTITY,DIRECT hospital_id,YES,id,1,2,52,READ|DELETE|UPDATE|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260321162749_5754cd97-c837-4c8f-a419-b2dd4b7f66f5.sql ; 20260510000001_enable_rls_missing_tables.sql
depreciation_postings,Other,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,0,NONE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,"REVIEW (no app usage, no rows)",LOW,20261008000084_depreciation_run.sql ; 20261008000084_depreciation_run.sql
dialysis_machines,IPD,CORE ENTITY,DIRECT hospital_id,YES,id,2,4,3,READ|UPDATE|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260328081418_c6970777-c1c3-41cb-8565-892ccc6173ff.sql ; 20260510000001_enable_rls_missing_tables.sql
dialysis_patients,IPD,CORE ENTITY,DIRECT hospital_id,YES,id,3,4,5,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,MEDIUM,MEDIUM,KEEP,MEDIUM,20260328081418_c6970777-c1c3-41cb-8565-892ccc6173ff.sql ; 20260510000001_enable_rls_missing_tables.sql
dialysis_sessions,IPD,CORE ENTITY,DIRECT hospital_id,YES,id,5,4,6,READ|INSERT|UPDATE,EVOLVED DESIGN,LOW,LOW,LOW,LOW,HIGH,KEEP + MODIFY (add FK indexes),HIGH,20260328081418_c6970777-c1c3-41cb-8565-892ccc6173ff.sql ; 20260328084209_433a51b8-50e4-4cfc-8e13-2dff5d717946.sql
dialyzer_reuse,Other,CORE ENTITY,DIRECT hospital_id,YES,id,2,5,0,NONE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,"REVIEW (no app usage, no rows)",LOW,20260328081418_c6970777-c1c3-41cb-8565-892ccc6173ff.sql ; 20260518000006_rls_missing_tables.sql
dicom_files,Radiology,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,2,READ|INSERT|DELETE,INTENTIONAL DESIGN,LOW,LOW,LOW,MEDIUM,MEDIUM,KEEP,MEDIUM,20260531000001_dicom_pacs_config.sql ; 20260531000001_dicom_pacs_config.sql
diet_orders,Dietetics,CORE ENTITY,DIRECT hospital_id,YES,id,4,1,3,INSERT|READ,INTENTIONAL DESIGN,LOW,LOW,LOW,MEDIUM,MEDIUM,KEEP,MEDIUM,20260329085231_c4f8855e-da57-4edf-8209-8111b6461103.sql ; 20260329085231_c4f8855e-da57-4edf-8209-8111b6461103.sql
diet_plans,Dietetics,CORE ENTITY,DIRECT hospital_id,YES,id,4,2,1,INSERT,DUPLICATED DESIGN (multiple CREATE TABLE),HIGH,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260329085231_c4f8855e-da57-4edf-8209-8111b6461103.sql ; 20260329085231_c4f8855e-da57-4edf-8209-8111b6461103.sql
dietitian_notes,Dietetics,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,1,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260910000008_nutrition_wound_care.sql ; 20260910000008_nutrition_wound_care.sql
disaster_drills,Emergency,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,1,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260509100010_nabh_disaster_management.sql ; 20260509100010_nabh_disaster_management.sql
disciplinary_actions,Other,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,1,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20261008000059_hr_disciplinary_grievance.sql ; 20261008000059_hr_disciplinary_grievance.sql
discount_approvals,Billing,CORE ENTITY,DIRECT hospital_id,YES,id,4,2,0,NONE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,HIGH,"REVIEW (no app usage, no rows)",LOW,20260323042425_16804ec8-3823-495a-89b7-52db4d2a494e.sql ; 20260323042425_16804ec8-3823-495a-89b7-52db4d2a494e.sql
discount_codes,Billing,REFERENCE,DERIVED via users,NO,id,1,2,5,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,CRITICAL,LOW,MEDIUM,KEEP + MODIFY (fix RLS),HIGH,20260601150001_aumrti_control_plane.sql ; 20260601150001_aumrti_control_plane.sql
doctor_quick_picks,OPD,CORE ENTITY,DIRECT hospital_id,YES,id,2,4,1,READ|INSERT|DELETE,PATCHED DESIGN (repeated policy rewrites),LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260610000001_doctor_quick_picks.sql ; 20260610000001_doctor_quick_picks.sql
doctor_schedules,OPD,CORE ENTITY,DIRECT hospital_id,YES,id,2,1,3,READ|DELETE|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260418050359_426c3e87-3bd1-42df-8c02-4bba3466fbc6.sql ; 20260418050359_426c3e87-3bd1-42df-8c02-4bba3466fbc6.sql
doctor_slots,OPD,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,7,READ|UPDATE|INSERT|DELETE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260908000013_slot_appointments.sql ; 20260908000013_slot_appointments.sql
donor_campaigns,Blood Bank,CORE ENTITY,DIRECT hospital_id,YES,id,2,1,1,INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20261003000001_phase6c_ai_bots.sql ; 20261003000001_phase6c_ai_bots.sql
donors,Blood Bank,CORE ENTITY,DIRECT hospital_id,YES,id,1,1,2,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260328052647_ae1a1adb-0b7e-44c0-be24-5a2f81d3a97f.sql ; 20260328052647_ae1a1adb-0b7e-44c0-be24-5a2f81d3a97f.sql
drug_allergy_cross_reactivity,Pharmacy,CORE ENTITY,GLOBAL / non-tenant,NO,id,0,1,2,READ,INTENTIONAL DESIGN,LOW,LOW,CRITICAL,LOW,LOW,KEEP + MODIFY (fix RLS),HIGH,20260327071615_32864482-53f6-47a5-a6fc-ccf9c4839e8f.sql ; 20260327071615_32864482-53f6-47a5-a6fc-ccf9c4839e8f.sql
drug_batches,Pharmacy,CORE ENTITY,DIRECT hospital_id,YES,id,3,3,20,READ|UPDATE|INSERT,EVOLVED DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260322164553_2b762a05-eb92-4336-b395-713f47d68f9c.sql ; 20260327054836_f05f22b3-c4ab-4ae2-bd2b-cbe28307151f.sql
drug_interactions,Pharmacy,CORE ENTITY,GLOBAL / non-tenant,NO,id,0,1,1,READ,INTENTIONAL DESIGN,LOW,LOW,CRITICAL,LOW,LOW,KEEP + MODIFY (fix RLS),HIGH,20260327071615_32864482-53f6-47a5-a6fc-ccf9c4839e8f.sql ; 20260327071615_32864482-53f6-47a5-a6fc-ccf9c4839e8f.sql
drug_master,Pharmacy,REFERENCE,DIRECT hospital_id,YES,id,1,2,20,READ|INSERT|UPDATE|DELETE,EVOLVED DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260322095145_2f127eea-e6c2-408b-b1ea-c30530c596b2.sql ; 20260322095145_2f127eea-e6c2-408b-b1ea-c30530c596b2.sql
dunning_attempts,Other,CORE ENTITY,DIRECT hospital_id,YES,id,2,1,1,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260622000010_add_dunning_attempts.sql ; 20260622000010_add_dunning_attempts.sql
dunning_cadence_rules,Other,CONFIGURATION,GLOBAL / non-tenant,NO,id,0,1,2,READ|INSERT|UPDATE|DELETE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20261008000109_dunning_cadence_rules.sql ; 20261008000109_dunning_cadence_rules.sql
duty_roster,HR,CORE ENTITY,DIRECT hospital_id,YES,id,7,4,5,READ|INSERT|DELETE|UPDATE,EVOLVED DESIGN,LOW,LOW,LOW,LOW,HIGH,KEEP + MODIFY (add FK indexes),HIGH,20260324080455_00c894a3-3659-42b3-8566-d84b0589970e.sql ; 20260327054836_f05f22b3-c4ab-4ae2-bd2b-cbe28307151f.sql
ed_charge_items,Emergency,JUNCTION,DIRECT hospital_id,YES,id,5,2,3,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,MEDIUM,MEDIUM,KEEP,MEDIUM,20261008000012_ed_charge_items.sql ; 20261008000012_ed_charge_items.sql
ed_handover_notes,Emergency,CORE ENTITY,DIRECT hospital_id,YES,id,5,2,1,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20261008000030_ed_handover_notes.sql ; 20261008000030_ed_handover_notes.sql
ed_medications,Emergency,CORE ENTITY,DIRECT hospital_id,YES,id,4,2,1,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20261008000017_ed_medications.sql ; 20261008000017_ed_medications.sql
ed_visits,Emergency,CORE ENTITY,DIRECT hospital_id,YES,id,4,3,9,READ|UPDATE|INSERT|DELETE,EVOLVED DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260322101256_499ca319-64fe-470e-a913-974fb9aa367d.sql ; 20260322101256_499ca319-64fe-470e-a913-974fb9aa367d.sql
electrical_safety_logs,Other,AUDIT,DIRECT hospital_id,YES,id,2,1,1,READ|INSERT|DELETE,INTENTIONAL DESIGN,LOW,LOW,LOW,MEDIUM,MEDIUM,KEEP,MEDIUM,20260601000001_nabh_gap_fill.sql ; 20260601000001_nabh_gap_fill.sql
email_notifications,Notifications,CORE ENTITY,DIRECT hospital_id,YES,id,1,1,1,INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260622000004_add_email_notifications_table.sql ; 20260622000004_add_email_notifications_table.sql
embryo_bank,IVF/ART,CORE ENTITY,DIRECT hospital_id,YES,id,4,2,2,READ,DUPLICATED DESIGN (multiple CREATE TABLE),HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,KEEP,MEDIUM,20260330090552_8f181820-6667-4345-ae68-d4aed2b4e34e.sql ; 20260330090552_8f181820-6667-4345-ae68-d4aed2b4e34e.sql
embryology_records,IVF/ART,CORE ENTITY,DIRECT hospital_id,YES,id,2,2,0,NONE,DUPLICATED DESIGN (multiple CREATE TABLE),HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,"REVIEW (no app usage, no rows)",LOW,20260330090552_8f181820-6667-4345-ae68-d4aed2b4e34e.sql ; 20260330090552_8f181820-6667-4345-ae68-d4aed2b4e34e.sql
emi_installments,Billing,CORE ENTITY,DIRECT hospital_id,YES,id,3,2,1,READ|UPDATE|INSERT,DUPLICATED DESIGN (multiple CREATE TABLE),HIGH,MEDIUM,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260329070823_5e47e3bf-e6fb-4984-a526-620c1df6a340.sql ; 20260329070823_5e47e3bf-e6fb-4984-a526-620c1df6a340.sql
emi_plans,Billing,CORE ENTITY,DIRECT hospital_id,YES,id,4,2,1,READ|INSERT,DUPLICATED DESIGN (multiple CREATE TABLE),HIGH,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260329070823_5e47e3bf-e6fb-4984-a526-620c1df6a340.sql ; 20260329070823_5e47e3bf-e6fb-4984-a526-620c1df6a340.sql
emr_template_definitions,Other,REFERENCE,DIRECT hospital_id,YES,id,1,3,2,READ|INSERT|DELETE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260501145300_v9_emr_procurement_foundation.sql ; 20260501145300_v9_emr_procurement_foundation.sql
enterprise_leads,Other,CORE ENTITY,hospital_id present but UNUSED by RLS,YES,id,1,4,2,READ|UPDATE|INSERT,INTENTIONAL DESIGN,LOW,LOW,CRITICAL,LOW,MEDIUM,KEEP + MODIFY (fix RLS),HIGH,20260609000001_saas_automation_tables.sql ; 20260609000001_saas_automation_tables.sql
entitlement_fail_open_events,Platform,CORE ENTITY,hospital_id present but UNUSED by RLS,YES,id,1,2,3,INSERT|READ,INTENTIONAL DESIGN,LOW,LOW,CRITICAL,LOW,MEDIUM,KEEP + MODIFY (fix RLS),HIGH,20261008000099_entitlement_fail_open_log.sql ; 20261008000099_entitlement_fail_open_log.sql
epidemic_protocols,Other,CORE ENTITY,DIRECT hospital_id,YES,id,2,1,2,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260509100010_nabh_disaster_management.sql ; 20260509100010_nabh_disaster_management.sql
equipment_master,Inventory,REFERENCE,DIRECT hospital_id,YES,id,2,1,10,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,MEDIUM,LOW,KEEP,MEDIUM,20260329082735_9bc536a7-52f4-4887-8826-8c9555012e77.sql ; 20260329082735_9bc536a7-52f4-4887-8826-8c9555012e77.sql
esg_monthly_metrics,Other,REPORTING,DIRECT hospital_id,YES,id,2,1,1,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,MEDIUM,MEDIUM,KEEP,MEDIUM,20260509100007_nabh_esg.sql ; 20260509100007_nabh_esg.sql
esi_beneficiaries,PM-JAY,CORE ENTITY,DIRECT hospital_id,YES,id,0,2,1,READ,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260521000005_govt_schemes.sql ; 20260521000005_govt_schemes.sql
expense_records,Other,CORE ENTITY,DIRECT hospital_id,YES,id,4,1,3,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,HIGH,KEEP + MODIFY (add FK indexes),HIGH,20260327104518_5ee46b79-c027-4225-b405-c6f40efe69be.sql ; 20260327104518_5ee46b79-c027-4225-b405-c6f40efe69be.sql
external_lab_referrals,Other,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,3,INSERT|READ|UPDATE|DELETE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260904000026_p2_gaps.sql ; 20260904000026_p2_gaps.sql
facility_assets,Tenant,CORE ENTITY,DIRECT hospital_id,YES,id,1,1,1,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260909000007_fms.sql ; 20260909000007_fms.sql
facility_maintenance_logs,Tenant,AUDIT,DIRECT hospital_id,YES,id,2,1,1,READ|INSERT|UPDATE|DELETE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260909000007_fms.sql ; 20260909000007_fms.sql
fall_risk_assessments,Nursing,CORE ENTITY,DIRECT hospital_id,YES,id,4,1,1,INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260607000002_fall_risk_assessments.sql ; 20260607000002_fall_risk_assessments.sql
fcm_tokens,Other,CORE ENTITY,DIRECT hospital_id,YES,id,2,2,2,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260910000012_mobile_fcm_tokens.sql ; 20260910000012_mobile_fcm_tokens.sql
