table,domain,has_hospital_id,fk_to_hospitals,tenant_model,parent_tables,policy_count,rls_references_hospital,write_path_tenant_guarded,open_select,open_write,risk,notes
ivf_cycles,IVF/ART,YES,YES,DIRECT hospital_id,bills|art_couples,2,YES,YES,NO,NO,LOW,
jci_evidence_items,Other,YES,YES,DIRECT hospital_id,users,1,YES,YES,NO,NO,LOW,
job_applicants,Other,YES,YES,DIRECT hospital_id,users|job_openings,1,YES,YES,NO,NO,LOW,
job_openings,Other,YES,YES,DIRECT hospital_id,users|departments,1,YES,YES,NO,NO,LOW,
journal_entries,Billing,YES,YES,DIRECT hospital_id,users|journal_entries|users,1,YES,YES,NO,NO,LOW,
journal_line_items,Billing,YES,YES,DIRECT hospital_id,chart_of_accounts|departments|journal_entries,1,YES,YES,NO,NO,LOW,
lab_analyzer_messages,Laboratory,YES,YES,DIRECT hospital_id,lab_device_connectors|lab_order_items|users,1,YES,YES,NO,NO,LOW,
lab_analyzer_test_mappings,Laboratory,YES,YES,DIRECT hospital_id,lab_device_connectors|lab_test_master,1,YES,YES,NO,NO,LOW,
lab_calibration_records,Laboratory,YES,YES,DIRECT hospital_id,users,1,YES,YES,NO,NO,LOW,
lab_device_connectors,Laboratory,YES,YES,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
lab_dual_validation_config,Laboratory,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
lab_order_items,Laboratory,YES,YES,DIRECT hospital_id,users|lab_orders|users,2,YES,YES,NO,NO,LOW,
lab_orders,Laboratory,YES,YES,DIRECT hospital_id,admissions|users|opd_encounters,4,YES,YES,NO,NO,LOW,
lab_qc_entries,Laboratory,YES,YES,DIRECT hospital_id,users,2,YES,YES,NO,NO,LOW,
lab_results,Laboratory,YES,YES,DIRECT hospital_id,users|lab_order_items|patients,1,YES,YES,NO,NO,LOW,
lab_samples,Laboratory,YES,YES,DIRECT hospital_id,users|lab_orders|users,2,YES,YES,NO,NO,LOW,
lab_test_group_items,Laboratory,NO,NO,DERIVED via lab_test_groups/lab_test_master,lab_test_groups|lab_test_master,1,YES,YES,NO,NO,LOW,
lab_test_groups,Laboratory,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
lab_test_master,Laboratory,YES,YES,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
leakage_reports,Other,YES,YES,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
leave_balance,HR,YES,YES,DIRECT hospital_id,users,4,YES,YES,NO,NO,LOW,
leave_requests,HR,YES,YES,DIRECT hospital_id,users|users,4,YES,YES,NO,NO,LOW,
lifecycle_nudge_actions,Other,YES,YES,hospital_id present but UNUSED by RLS,,1,NO,N/A,NO,NO,HIGH,column exists but no policy references it
linen_records,Housekeeping,YES,YES,DIRECT hospital_id,wards,1,YES,YES,NO,NO,LOW,
lms_certificates,LMS,YES,YES,DIRECT hospital_id,lms_courses|lms_enrollments|users,1,YES,YES,NO,NO,LOW,
lms_courses,LMS,YES,YES,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
lms_enrollments,LMS,YES,YES,DIRECT hospital_id,lms_courses|users,1,YES,YES,NO,NO,LOW,
lms_quiz_attempts,LMS,NO,NO,DERIVED via lms_enrollments,lms_enrollments,1,YES,YES,NO,NO,LOW,
lms_quiz_questions,LMS,NO,NO,DERIVED via lms_courses,lms_courses,2,YES,YES,NO,NO,LOW,
mar_double_checks,Other,YES,YES,DIRECT hospital_id,users|nursing_mar|users,1,YES,YES,NO,NO,LOW,
mar_records,Other,YES,YES,DIRECT hospital_id,nursing_mar,1,YES,YES,NO,NO,LOW,
marketing_campaigns,Other,YES,YES,DIRECT hospital_id,users,1,YES,YES,NO,NO,LOW,
mccd_certificates,Other,YES,YES,DIRECT hospital_id,users|mortuary_admissions|patients,1,YES,YES,NO,NO,LOW,
mci_events,Emergency,YES,YES,DIRECT hospital_id,users|users,1,YES,YES,NO,NO,LOW,
mci_triage_patients,Emergency,YES,YES,DIRECT hospital_id,mci_events|patients|users,1,YES,YES,NO,NO,LOW,
meal_deliveries,Dietetics,YES,YES,DIRECT hospital_id,admissions|users|diet_orders,1,YES,YES,NO,NO,LOW,
med_admin_records,Other,YES,YES,DIRECT hospital_id,users|admissions|patients,1,YES,YES,NO,NO,LOW,
med_reconciliation_events,Other,YES,YES,DIRECT hospital_id,admissions|users|users,1,YES,YES,NO,NO,LOW,
medical_gas_logs,Other,YES,YES,DIRECT hospital_id,users,1,YES,YES,NO,NO,LOW,
medical_records,Other,YES,YES,DIRECT hospital_id,patients,1,YES,YES,NO,NO,LOW,
medication_adherence,Other,YES,NO,DIRECT hospital_id,care_plans,2,YES,YES,NO,NO,LOW,
mental_health_encounters,Other,YES,NO,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
metrics_registry,Reporting,NO,NO,GLOBAL / non-tenant,,2,NO,NO,NO,NO,LOW,
migration_jobs,Other,YES,YES,DIRECT hospital_id,users,1,YES,YES,NO,NO,LOW,
migration_logs,Other,YES,YES,DIRECT hospital_id,migration_jobs,1,YES,YES,NO,NO,LOW,
mlc_cases,Other,YES,YES,DIRECT hospital_id,admissions|users|ed_visits,1,YES,YES,NO,NO,LOW,
mlc_records,Other,YES,YES,DIRECT hospital_id,mortuary_admissions|patients,1,YES,YES,NO,NO,LOW,
mortuary_admissions,Emergency,YES,YES,DIRECT hospital_id,admissions|patients|users,1,YES,YES,NO,NO,LOW,
mrr_snapshots,Platform,YES,YES,hospital_id present but UNUSED by RLS,subscription_plans,1,NO,N/A,NO,NO,HIGH,column exists but no policy references it
nabh_chapter_names,Quality/NABH,NO,NO,GLOBAL / non-tenant,,1,NO,N/A,YES,NO,CRITICAL,USING(true) readable by any authenticated user
nabh_criteria,Quality/NABH,YES,YES,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
nabh_evidence_items,Quality/NABH,YES,YES,DIRECT hospital_id,nabh_hospital_compliance|users,1,YES,YES,NO,NO,LOW,
nabh_evidence_log,Quality/NABH,YES,YES,DIRECT hospital_id,users,2,YES,YES,NO,NO,LOW,
nabh_hospital_compliance,Quality/NABH,YES,YES,DIRECT hospital_id,users|nabh_standards|users,2,YES,YES,NO,NO,LOW,
nabh_standards,Quality/NABH,NO,NO,GLOBAL / non-tenant,,1,NO,N/A,NO,NO,LOW,
ndps_pending_dispenses,Pharmacy,YES,YES,DIRECT hospital_id,users|drug_master|users,2,YES,YES,NO,NO,LOW,
ndps_register,Pharmacy,YES,YES,DIRECT hospital_id,users|pharmacy_dispensing|drug_master,6,YES,YES,NO,NO,LOW,
neonatal_records,Other,YES,YES,DIRECT hospital_id,admissions|patients|patients,1,YES,YES,NO,NO,LOW,
no_show_predictions,Other,YES,YES,DIRECT hospital_id,opd_tokens|appointments|patients,1,YES,YES,NO,NO,LOW,
notification_log,Notifications,YES,YES,DIRECT hospital_id,patients,2,YES,YES,NO,NO,LOW,
notification_preferences,Notifications,YES,YES,DIRECT hospital_id,patients,2,YES,YES,NO,NO,LOW,
notification_queue,Notifications,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
nps_responses,Other,YES,YES,DIRECT hospital_id,nps_surveys,1,YES,YES,NO,NO,LOW,
nps_surveys,Other,YES,YES,DIRECT hospital_id,patients,1,YES,YES,NO,NO,LOW,
nursing_care_plans,Nursing,YES,YES,DIRECT hospital_id,admissions|patients,1,YES,YES,NO,NO,LOW,
nursing_fluid_outputs,Nursing,YES,YES,DIRECT hospital_id,admissions|users,1,YES,YES,NO,NO,LOW,
nursing_handovers,Nursing,YES,YES,DIRECT hospital_id,users|users|wards,2,YES,YES,NO,NO,LOW,
nursing_mar,Nursing,YES,YES,DIRECT hospital_id,users|admissions|ipd_medications,2,YES,YES,NO,NO,LOW,
nursing_procedure_consumables,Nursing,YES,YES,DIRECT hospital_id,inventory_items|nursing_procedures,1,YES,YES,NO,NO,LOW,
nursing_procedures,Nursing,YES,YES,DIRECT hospital_id,admissions|bills|patients,1,YES,YES,NO,NO,LOW,
nursing_vitals,Nursing,YES,YES,DIRECT hospital_id,admissions|patients|users,1,YES,YES,NO,NO,LOW,
nutrition_screenings,Dietetics,YES,YES,DIRECT hospital_id,admissions|patients|users,1,YES,YES,NO,NO,LOW,
nutritional_screenings,Dietetics,YES,YES,DIRECT hospital_id,admissions|patients|users,1,YES,YES,NO,NO,LOW,
oauth_provider_settings,Identity,NO,NO,GLOBAL / non-tenant,,1,NO,NO,NO,NO,LOW,
obstetric_records,Other,YES,YES,DIRECT hospital_id,patients,3,YES,YES,NO,NO,LOW,
occupational_health_records,Other,YES,YES,DIRECT hospital_id,users|users,1,YES,YES,NO,NO,LOW,
onboarding_tasks,HR,YES,YES,DIRECT hospital_id,job_applicants,1,YES,YES,NO,NO,LOW,
oncology_patients,IPD,YES,YES,DIRECT hospital_id,patients|chemo_protocols|users,1,YES,YES,NO,NO,LOW,
online_reviews,Other,YES,YES,DIRECT hospital_id,users,1,YES,YES,NO,NO,LOW,
opd_diagnoses,OPD,YES,YES,DIRECT hospital_id,users|opd_encounters|patients,1,YES,YES,NO,NO,LOW,
opd_encounters,OPD,YES,YES,DIRECT hospital_id,bills|users|patients,2,YES,YES,NO,NO,LOW,
opd_token_sequences,OPD,YES,YES,hospital_id present but UNUSED by RLS,,1,NO,N/A,YES,NO,CRITICAL,column exists but no policy references it; USING(true) readable by any authenticated user
opd_tokens,OPD,YES,YES,DIRECT hospital_id,appointments|departments|users,3,YES,YES,NO,NO,LOW,
opd_visits,OPD,YES,YES,DIRECT hospital_id,departments|users|patients,2,YES,YES,NO,NO,LOW,
ophthalmology_records,Other,YES,YES,DIRECT hospital_id,patients,1,YES,YES,NO,NO,LOW,
organ_donations,Other,YES,YES,DIRECT hospital_id,mortuary_admissions|patients,1,YES,YES,NO,NO,LOW,
ot_checklist_custom_items,OT,YES,YES,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
ot_checklists,OT,YES,YES,DIRECT hospital_id,ot_schedules,2,YES,YES,NO,NO,LOW,
ot_consumables,OT,YES,YES,DIRECT hospital_id,users|inventory_items|ot_schedules,1,YES,YES,NO,NO,LOW,
ot_equipment_checklist,OT,YES,YES,DIRECT hospital_id,ot_schedules,2,YES,YES,NO,NO,LOW,
ot_implants,OT,YES,YES,DIRECT hospital_id,users|inventory_items|ot_schedules,1,YES,YES,NO,NO,LOW,
ot_instrument_counts,OT,YES,YES,DIRECT hospital_id,ot_schedules,2,YES,YES,NO,NO,LOW,
ot_rooms,OT,YES,YES,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
ot_schedules,OT,YES,YES,DIRECT hospital_id,admissions|users|bills,3,YES,YES,NO,NO,LOW,
ot_team_members,OT,NO,NO,DERIVED via ot_schedules,ot_schedules,2,YES,YES,NO,NO,LOW,
outcome_scores,Other,YES,YES,DIRECT hospital_id,patients|physio_referrals|users,1,YES,YES,NO,NO,LOW,
overtime_requests,Other,YES,YES,DIRECT hospital_id,users|users,1,YES,YES,NO,NO,LOW,
package_bookings,Billing,YES,YES,DIRECT hospital_id,bills|users|corporate_accounts,4,YES,YES,NO,NO,LOW,
package_extras,Billing,YES,YES,DIRECT hospital_id,hospital_packages|service_master,2,YES,YES,NO,NO,LOW,
package_inclusions,Billing,YES,YES,DIRECT hospital_id,hospital_packages|service_master,2,YES,YES,NO,NO,LOW,
package_station_logs,Billing,YES,YES,DIRECT hospital_id,package_bookings|users,1,YES,YES,NO,NO,LOW,
pacs_connectors,Radiology,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
pacu_assessments,OT,YES,YES,DIRECT hospital_id,,4,YES,YES,NO,NO,LOW,
pain_audit_records,Other,YES,YES,DIRECT hospital_id,users|wards,1,YES,YES,NO,NO,LOW,
palliative_care_plans,Other,YES,YES,DIRECT hospital_id,admissions|users|users,1,YES,YES,NO,NO,LOW,
panchakarma_schedules,Other,YES,YES,DIRECT hospital_id,patients|users|users,1,YES,YES,NO,NO,LOW,
partograph_entries,Other,YES,YES,DIRECT hospital_id,admissions|patients|users,1,YES,YES,NO,NO,LOW,
partograph_records,Other,YES,YES,DIRECT hospital_id,admissions|patients,1,YES,YES,NO,NO,LOW,
pathology_cases,Other,YES,YES,DIRECT hospital_id,users|users|users,2,YES,YES,NO,NO,LOW,
patient_abha_profiles,ABDM,YES,YES,DIRECT hospital_id,users|patients,2,YES,YES,NO,NO,LOW,
patient_acquisition,Patient,YES,YES,DIRECT hospital_id,marketing_campaigns|patients|referral_doctors,1,YES,YES,NO,NO,LOW,
patient_ai_context,AI,YES,NO,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
patient_consents,Patient,YES,YES,DIRECT hospital_id,admissions|ed_visits|patients,3,YES,YES,NO,NO,LOW,
patient_documents,Patient,YES,YES,DIRECT hospital_id,patients|users,3,YES,YES,NO,NO,LOW,
patient_encounter_templates,Patient,YES,YES,DIRECT hospital_id,users|opd_encounters|emr_template_definitions,3,YES,YES,NO,NO,LOW,
patient_feedback,Patient,YES,YES,DIRECT hospital_id,admissions|opd_encounters|patients,3,YES,YES,NO,NO,LOW,
patient_history_digests,Patient,YES,YES,DIRECT hospital_id,patient_history_ingest_jobs|patients|users,1,YES,YES,NO,NO,LOW,
patient_history_ingest_jobs,Patient,YES,YES,DIRECT hospital_id,opd_encounters|patients|users,1,YES,YES,NO,NO,LOW,
patient_history_source_chunks,Patient,YES,YES,DIRECT hospital_id,patient_history_ingest_jobs|patients|patient_history_sources,1,YES,YES,NO,NO,LOW,
patient_history_sources,Patient,YES,YES,DIRECT hospital_id,patient_history_ingest_jobs|patients,1,YES,YES,NO,NO,LOW,
patient_portal_sessions,Patient,YES,YES,DIRECT hospital_id,patients,6,YES,NO,NO,YES,CRITICAL,WITH CHECK(true) writable
patient_rights_acknowledgements,Patient,YES,YES,DIRECT hospital_id,admissions|patients,1,YES,YES,NO,NO,LOW,
patient_segments,Patient,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
patient_template_responses,Patient,YES,YES,DIRECT hospital_id,patient_encounter_templates,3,YES,YES,NO,NO,LOW,
patient_voice_sessions,Patient,YES,NO,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
patients,Patient,YES,YES,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
payer_masters,Insurance,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
payment_links,Payments,YES,YES,DIRECT hospital_id,bills|users|patients,3,YES,YES,NO,NO,LOW,
payroll_hooks,Payroll,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
payroll_items,Payroll,YES,YES,DIRECT hospital_id,payroll_runs|users,2,YES,YES,NO,NO,LOW,
payroll_runs,Payroll,YES,YES,DIRECT hospital_id,users|users,3,YES,YES,NO,NO,LOW,
payslips,Other,YES,YES,DIRECT hospital_id,payroll_runs|users|salary_structures,1,YES,YES,NO,NO,LOW,
pcpndt_form_f,Other,YES,YES,DIRECT hospital_id,radiology_orders|users,3,YES,YES,NO,NO,LOW,
pcpndt_records,Other,YES,YES,DIRECT hospital_id,users|users|patients,1,YES,YES,NO,NO,LOW,
pcpndt_settings,Other,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
performance_appraisals,Other,YES,YES,DIRECT hospital_id,users|users,1,YES,YES,NO,NO,LOW,
periodontal_charts,Other,YES,YES,DIRECT hospital_id,users|patients,2,YES,YES,NO,NO,LOW,
pharmacy_dispensing,Pharmacy,YES,YES,DIRECT hospital_id,admissions|users|opd_encounters,4,YES,YES,NO,NO,LOW,
pharmacy_dispensing_items,Pharmacy,YES,YES,DIRECT hospital_id,drug_batches|pharmacy_dispensing|drug_master,3,YES,YES,NO,NO,LOW,
pharmacy_return_audit,Audit/Compliance,YES,YES,DIRECT hospital_id,admissions|bills|users,1,YES,YES,NO,NO,LOW,
pharmacy_stock_alerts,Pharmacy,YES,YES,DIRECT hospital_id,users|drug_batches|drug_master,4,YES,YES,NO,NO,LOW,
pharmacy_supplier_returns,Pharmacy,YES,YES,DIRECT hospital_id,drug_batches|users|drug_master,3,YES,YES,NO,NO,LOW,
pharmacy_waste_disposal,Pharmacy,YES,YES,DIRECT hospital_id,drug_batches|users|drug_master,2,YES,YES,NO,NO,LOW,
phi_access_audit,Audit/Compliance,YES,YES,DIRECT hospital_id,users,4,YES,YES,NO,NO,LOW,
phi_backfill_log,Audit/Compliance,YES,YES,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
phi_encryption_keys,Audit/Compliance,YES,YES,hospital_id present but UNUSED by RLS,,1,NO,YES,NO,NO,HIGH,column exists but no policy references it
physio_equipment_bookings,Other,YES,YES,DIRECT hospital_id,users|patients|physio_sessions,1,YES,YES,NO,NO,LOW,
physio_referrals,Other,YES,YES,DIRECT hospital_id,users|admissions|opd_encounters,1,YES,YES,NO,NO,LOW,
physio_sessions,Other,YES,YES,DIRECT hospital_id,patients|physio_referrals|users,1,YES,YES,NO,NO,LOW,
plan_features,Platform,NO,NO,DERIVED via subscription_plans,subscription_plans,3,NO,NO,YES,NO,CRITICAL,USING(true) readable by any authenticated user
platform_ai_keys,AI,NO,NO,GLOBAL / non-tenant,,2,NO,NO,NO,NO,LOW,
platform_ai_provider_config,AI,NO,NO,GLOBAL / non-tenant,,5,NO,NO,YES,NO,CRITICAL,USING(true) readable by any authenticated user
platform_billing_settings,Platform,NO,NO,GLOBAL / non-tenant,,2,NO,NO,NO,NO,LOW,
platform_feature_flag_overrides,Platform,YES,YES,DIRECT hospital_id,platform_feature_flags,2,YES,NO,NO,NO,LOW,
platform_feature_flags,Platform,NO,NO,DERIVED via users,users,2,NO,NO,YES,NO,CRITICAL,USING(true) readable by any authenticated user
platform_incident_updates,Platform,NO,NO,DERIVED via users/platform_incidents,users|platform_incidents,2,NO,NO,YES,NO,CRITICAL,USING(true) readable by any authenticated user
platform_incidents,Platform,NO,NO,DERIVED via users,users,2,NO,NO,YES,NO,CRITICAL,USING(true) readable by any authenticated user
platform_metrics_registry,Platform,NO,NO,GLOBAL / non-tenant,,2,NO,NO,NO,NO,LOW,
platform_onboarding_tours,Platform,NO,NO,GLOBAL / non-tenant,,2,NO,NO,NO,NO,LOW,
platform_settings,Platform,NO,NO,GLOBAL / non-tenant,,1,NO,NO,NO,NO,LOW,
platform_support_tickets,Platform,YES,YES,DIRECT hospital_id,aumrti_admins|users|platform_support_tickets,1,YES,YES,NO,NO,LOW,
platform_training_videos,Platform,NO,NO,GLOBAL / non-tenant,,2,NO,NO,NO,NO,LOW,
pm_schedules,Other,YES,YES,DIRECT hospital_id,users|equipment_master,1,YES,YES,NO,NO,LOW,
pmjay_claims,PM-JAY,YES,YES,DIRECT hospital_id,admissions|bills|patients,1,YES,YES,NO,NO,LOW,
pmjay_package_master,PM-JAY,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
pmjay_packages,PM-JAY,YES,YES,DIRECT hospital_id,govt_schemes,3,YES,YES,NO,NO,LOW,
pmjay_preauth_requests,PM-JAY,YES,YES,DIRECT hospital_id,patients|users,1,YES,YES,NO,NO,LOW,
po_approval_rules,Other,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
po_items,Other,YES,YES,DIRECT hospital_id,inventory_items|purchase_orders,4,YES,YES,NO,NO,LOW,
portal_chat_messages,Patient,YES,YES,hospital_id present but UNUSED by RLS,patients,1,NO,NO,NO,NO,HIGH,column exists but no policy references it
prakriti_assessments,Other,YES,YES,DIRECT hospital_id,users|patients,1,YES,YES,NO,NO,LOW,
pre_auth_requests,Insurance,YES,YES,DIRECT hospital_id,admissions|scheme_beneficiaries|pmjay_packages,1,YES,YES,NO,NO,LOW,
prescriptions,Pharmacy,YES,YES,DIRECT hospital_id,admissions|users|opd_encounters,2,YES,YES,NO,NO,LOW,
preventive_screenings,Other,YES,YES,DIRECT hospital_id,patients|users,1,YES,YES,NO,NO,LOW,
procurement_recommendations,Procurement,YES,YES,DIRECT hospital_id,inventory_items,3,YES,YES,NO,NO,LOW,
product_analytics_events,Other,YES,YES,DIRECT hospital_id,users,2,YES,YES,NO,NO,LOW,
product_modes,Other,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
prom_prem_surveys,Patient,YES,YES,DIRECT hospital_id,patients,3,YES,NO,NO,NO,LOW,
prompt_registry,AI,NO,NO,DERIVED via users,users,2,YES,YES,NO,NO,LOW,
psychometric_assessments,Other,YES,NO,DIRECT hospital_id,mental_health_encounters,2,YES,YES,NO,NO,LOW,
purchase_orders,Procurement,YES,YES,DIRECT hospital_id,users|departments|users,3,YES,YES,NO,NO,LOW,
purchase_requisitions,Procurement,YES,YES,DIRECT hospital_id,departments|users,1,YES,YES,NO,NO,LOW,
push_notifications,Notifications,YES,YES,DIRECT hospital_id,users,2,YES,YES,NO,NO,LOW,
qi_cycles,Other,NO,NO,DERIVED via qi_projects,qi_projects,1,YES,YES,NO,NO,LOW,
qi_projects,Other,YES,YES,DIRECT hospital_id,nabh_standards|users|clinical_audits,1,YES,YES,NO,NO,LOW,
quality_indicator_definitions,Quality/NABH,NO,NO,GLOBAL / non-tenant,,2,NO,NO,YES,NO,CRITICAL,USING(true) readable by any authenticated user
quality_indicator_overrides,Quality/NABH,YES,YES,DIRECT hospital_id,quality_indicator_definitions|users,2,YES,YES,NO,NO,LOW,
quality_indicators,Quality/NABH,YES,YES,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
queue_state,OPD,YES,YES,DIRECT hospital_id,users|opd_tokens|departments,2,YES,YES,YES,NO,CRITICAL,USING(true) readable by any authenticated user
quotation_items,Other,NO,NO,DERIVED via inventory_items/vendor_quotations,inventory_items|vendor_quotations,1,YES,YES,NO,NO,LOW,
radiology_modalities,Radiology,YES,YES,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
radiology_orders,Radiology,YES,YES,DIRECT hospital_id,admissions|opd_encounters|radiology_modalities,4,YES,YES,NO,NO,LOW,
radiology_reports,Radiology,YES,YES,DIRECT hospital_id,radiology_orders|patients|users,2,YES,YES,NO,NO,LOW,
radiology_study_master,Radiology,YES,YES,DIRECT hospital_id,radiology_modalities,1,YES,YES,NO,NO,LOW,
razorpay_plan_registry,Payments,NO,NO,DERIVED via subscription_plans,subscription_plans,2,NO,N/A,NO,NO,MEDIUM,
razorpay_webhook_log,Payments,YES,NO,DENY-ALL (no policies),,0,NO,N/A,NO,NO,LOW,column exists but no policy references it; service_role only (bypassrls)
reconciliation_discrepancies,Other,YES,YES,DIRECT hospital_id,admissions|med_reconciliation_events|users,1,YES,YES,NO,NO,LOW,
record_access_logs,Other,YES,YES,DIRECT hospital_id,users|patients,1,YES,YES,NO,NO,LOW,
record_requests,Other,YES,YES,DIRECT hospital_id,users|patients|medical_records,1,YES,YES,NO,NO,LOW,
record_retention_policies,Other,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
referral_codes,Platform,YES,YES,DIRECT hospital_id,users|referral_partners,2,YES,NO,NO,NO,LOW,
referral_doctors,Platform,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
referral_partners,Platform,NO,NO,DERIVED via users,users,1,NO,NO,NO,NO,MEDIUM,
referral_redemptions,Platform,NO,YES,DERIVED via referral_codes,referral_codes,2,YES,NO,NO,NO,LOW,
refund_payables,Billing,YES,YES,DIRECT hospital_id,admissions|users|bills,3,YES,YES,NO,NO,LOW,
report_schedules,Reporting,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
requisition_items,Other,NO,NO,DERIVED via inventory_items/purchase_requisitions,inventory_items|purchase_requisitions,1,YES,YES,NO,NO,LOW,
research_cohorts,Other,YES,YES,DIRECT hospital_id,users,1,YES,YES,NO,NO,LOW,
restraint_records,Other,YES,YES,DIRECT hospital_id,admissions|users|patients,1,YES,YES,NO,NO,LOW,
retention_schedules,Other,YES,YES,DIRECT hospital_id,users|patients,1,YES,YES,NO,NO,LOW,
revenue_alerts,Billing,YES,YES,DIRECT hospital_id,bills|patients|users,1,YES,YES,NO,NO,LOW,
revenue_leak_actions,Billing,YES,YES,DIRECT hospital_id,users|users|users,1,YES,YES,NO,NO,LOW,
rfq_vendors,Procurement,NO,NO,DERIVED via rfqs/vendors,rfqs|vendors,1,YES,YES,NO,NO,LOW,
rfqs,Procurement,YES,YES,DIRECT hospital_id,users|purchase_requisitions,1,YES,YES,NO,NO,LOW,
role_permissions,Identity,YES,YES,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
safety_event_capa,Other,NO,NO,DERIVED via users/safety_events,users|safety_events,1,YES,YES,NO,NO,LOW,
safety_event_rca,Other,NO,NO,DERIVED via users/safety_events,users|safety_events,1,YES,YES,NO,NO,LOW,
safety_events,Other,YES,YES,DIRECT hospital_id,admissions|departments|nabh_standards,1,YES,YES,NO,NO,LOW,
safety_rounds,Other,YES,YES,DIRECT hospital_id,users,1,YES,YES,NO,NO,LOW,
salary_structures,Payroll,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
scheme_beneficiaries,Other,YES,YES,DIRECT hospital_id,patients|govt_schemes,1,YES,YES,NO,NO,LOW,
second_victim_cases,Other,YES,YES,DIRECT hospital_id,users|users,1,YES,YES,NO,NO,LOW,
second_victim_sessions,Other,YES,YES,DIRECT hospital_id,second_victim_cases,1,YES,YES,NO,NO,LOW,
sedation_scores,ICU,YES,YES,DIRECT hospital_id,admissions|users,1,YES,YES,NO,NO,LOW,
service_charges,Billing,YES,YES,DIRECT hospital_id,admissions|bills|users,1,YES,YES,NO,NO,LOW,
service_master,Billing,YES,YES,DIRECT hospital_id,departments|users,2,YES,YES,NO,NO,LOW,
service_rates,Billing,YES,YES,DIRECT hospital_id,payer_masters,1,YES,YES,NO,NO,LOW,
set_issues,Other,YES,YES,DIRECT hospital_id,users|users|instrument_sets,1,YES,YES,NO,NO,LOW,
settlement_reconciliation_flags,Payments,YES,YES,hospital_id present but UNUSED by RLS,subscription_invoices|users,2,NO,NO,NO,NO,HIGH,column exists but no policy references it
shift_master,HR,YES,YES,DIRECT hospital_id,,4,YES,YES,NO,NO,LOW,
shift_swap_requests,HR,YES,YES,DIRECT hospital_id,users|users|users,1,YES,YES,NO,NO,LOW,
signup_otp_verifications,Platform,NO,NO,DENY-ALL (no policies),,0,NO,N/A,NO,NO,LOW,service_role only (bypassrls)
sms_notifications,Notifications,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
staff_attendance,HR,YES,YES,DIRECT hospital_id,users|users,3,YES,YES,NO,NO,LOW,
staff_burnout_scores,HR,YES,YES,DIRECT hospital_id,users,1,YES,YES,NO,NO,LOW,
staff_credentials,HR,YES,YES,DIRECT hospital_id,users|users,1,YES,YES,NO,NO,LOW,
staff_documents,HR,YES,YES,DIRECT hospital_id,users|users|users,1,YES,YES,NO,NO,LOW,
staff_exits,HR,YES,YES,DIRECT hospital_id,users|users,1,YES,YES,NO,NO,LOW,
staff_grievances,HR,YES,YES,DIRECT hospital_id,users|users,1,YES,YES,NO,NO,LOW,
staff_injuries,HR,YES,YES,DIRECT hospital_id,users,1,YES,YES,NO,NO,LOW,
staff_privileges,HR,YES,YES,DIRECT hospital_id,departments|users|users,1,YES,YES,NO,NO,LOW,
staff_profiles,HR,YES,YES,DIRECT hospital_id,departments|users,2,YES,YES,NO,NO,LOW,
staff_salary_assignments,HR,YES,YES,DIRECT hospital_id,users|salary_structures,1,YES,YES,NO,NO,LOW,
staff_training_records,HR,YES,YES,DIRECT hospital_id,users,1,YES,YES,NO,NO,LOW,
staffing_alerts,HR,YES,YES,DIRECT hospital_id,ward_acuity_snapshots,1,YES,YES,NO,NO,LOW,
